cluster,label,n_passages,dom_tradition,dom_pct,n_traditions,entropy,norm_entropy,n_abrahamic,n_dharmic,n_buddhist,n_taoist,n_norse,n_confucian,n_philosophy,n_scientific,n_literature,n_historical
28,honour virtue / men greedy / indifferent pauper / pecuniary considerations,150,Philosophy,0.54,9,2.0598154230515076,0.6497994186342876,32,15,5,2,0,2,81,4,5,4
29,knoweth vain / virtue degenerated / reproofs / conceal riches,168,Abrahamic,0.5,8,1.7277573348863458,0.575919111628782,84,1,59,2,6,1,13,0,2,0
26,weary poets / flee solitude / path ascended / satan,304,Philosophy,0.7467105263157895,7,1.336918402111669,0.47621994340914925,16,5,4,0,0,1,227,19,32,0
34,pleasures appetites / virtue matured / civilization historical / proverb faultless,334,Philosophy,0.7604790419161677,6,1.2002005257279804,0.4643009426222419,1,37,11,0,0,0,254,28,3,0
9,allah commandment / sanction rulers / marriage dowries / accused caught,406,Historical,0.6847290640394089,8,1.3841527396527535,0.46138424655091786,85,14,3,0,0,1,21,2,2,278
15,allah creator / light dwelleth / earth knowledge / interpretation,97,Abrahamic,0.865979381443299,4,0.7445085790730067,0.37225428953650336,84,6,0,0,0,0,6,1,0,0
16,friendship christian / respect acquaintance / reproach saying / animosities literal,89,Philosophy,0.8314606741573034,7,1.040180492055918,0.3705197671598769,3,6,1,0,2,0,74,1,2,0
23,ascetic saint / sensuality modestly / madame guyon / historic explanation,112,Scientific,0.8660714285714286,5,0.7523039029219928,0.3239996555356239,0,10,1,0,0,0,3,97,0,1
25,plato remark / affect spirit / exertion merit / gymnastic music,625,Philosophy,0.8704,9,0.8518478470126926,0.2687280760980474,2,11,1,3,0,3,544,14,10,37
18,faculties permanence / vedas dissipate / history eternal / arjun worship,1755,Dharmic,0.8803418803418803,8,0.7976187511176462,0.2658729170392154,22,1545,91,23,0,1,22,42,9,0
10,montague affection / vestal modesty / sonnet verses / ancient lady,116,Literature,0.9137931034482759,5,0.582856377145998,0.2510225783603659,0,3,0,0,2,0,4,1,106,0
5,antagonisms communist / socialism philosophical / individuality abolition / property sacred,187,Historical,0.9411764705882353,3,0.37248348458107094,0.23501091313617287,0,0,0,0,0,0,8,3,0,176
7,siddhartha tale / kamala looked / vasudeva words / infants death,325,Literature,0.9353846153846154,4,0.4386216539530874,0.2193108269765437,0,8,10,0,0,0,0,3,304,0
30,prophet struggle / wrongdoers fearful / higher meaning / humility saying,1639,Abrahamic,0.9194630872483222,7,0.5785106117866843,0.20606963773667583,1507,49,22,0,0,0,36,15,2,8
3,penitentiales solum / confessionalia / mortem / papa,97,Historical,0.9690721649484536,2,0.19902377455969078,0.19902377455969078,0,0,0,0,0,0,0,3,0,94
13,civilization ethics / distress culture / misery happier / adversity means,86,Scientific,0.9534883720930233,3,0.30912345376202427,0.1950351845052318,0,0,0,0,0,0,3,82,0,1
27,wretched hamlet / encountering visage / dream dæmon / apparition informed,439,Literature,0.9316628701594533,6,0.48289297930315095,0.18680850463727533,1,5,2,0,0,0,6,16,409,0
32,leibnitz intellectualized / existence merely / reciprocally community / homogeneous intuition,1451,Philosophy,0.9331495520330806,8,0.48496189950108703,0.16165396650036234,1,18,1,1,0,0,1354,43,26,7
24,god conversion / philosophic theological / spiritual excitement / characteristic affection,460,Scientific,0.941304347826087,6,0.4174161141817672,0.1614785955561506,1,8,0,0,0,0,15,433,2,1
17,yogi practices / realize soul / explained sānkhya / discernment means,137,Dharmic,0.9781021897810219,2,0.15196756454078234,0.15196756454078234,0,134,0,0,0,0,0,3,0,0
33,scholarly impulses / philosopher despises / spinoza ethics / passion transitory,93,Philosophy,0.978494623655914,3,0.17131674381683393,0.10808883095901954,0,0,0,0,0,0,91,0,1,1
6,buddhas law / disciple interpreting / doctrines received / subhuti means,76,Buddhist,0.9868421052631579,2,0.10106696361212415,0.10106696361212415,0,1,75,0,0,0,0,0,0,0
22,mystical perception / eternity feeling / desolations meanings / epistle romans,97,Scientific,0.9896907216494846,2,0.08283655281361223,0.08283655281361223,0,1,0,0,0,0,0,96,0,0
4,constitution examined / states security / negotiation treaties / war adhering,1483,Historical,0.9743762643290627,7,0.20932290176779986,0.07456232203599683,1,2,0,1,0,0,27,5,2,1445
2,sigurth brynhild / confusing norse / helgi meaning / understanding poems,1378,Norse,0.978955007256894,6,0.1905676566586068,0.07372163294649033,4,11,0,0,1349,0,1,7,0,6
19,moses responded / tabernacle congregation / lord saw / man terrified,112,Abrahamic,0.9910714285714286,2,0.07360348308562405,0.07360348308562405,111,0,0,0,0,0,0,1,0,0
31,injustice intemperance / interpretatione ii / christian precept / heine,198,Philosophy,0.9848484848484849,4,0.13728888684135665,0.06864444342067832,1,0,1,0,0,0,195,1,0,0
8,confucius friendships / tsang doctrine / duties qualities / master saying,283,Confucian,0.9858657243816255,4,0.12829836297201186,0.06414918148600593,0,0,1,0,0,279,0,2,1,0
14,libido symbolism / myths savior / hippolytos shows / stepmother enamoured,1118,Scientific,0.9856887298747764,5,0.13207532350458545,0.056881745733384774,3,9,0,0,2,0,2,1102,0,0
12,zarathustra godless / doctrine danger / deceiving spirit / interpretation,334,Philosophy,0.9940119760479041,2,0.05282677388968397,0.05282677388968397,0,0,0,0,0,0,332,2,0,0
11,quixote told / perceiving sancho / freebooters bodies / wandered unattended,1309,Literature,0.9862490450725745,6,0.12380436462864995,0.04789406600448202,1,0,1,0,0,0,1,13,1291,2
